Name	Type	Region	PKG direct link	File Size
Simple 1500 Vol. 14: The Block Kuzushi 	PS1	JP	http://zeusXXXXJP0367/NPJJ00337_00/5HE6vxrR5JEJXQxytNBfFIVHkLtjntWuVJ13sX0wetgLQgNkJcalnsUAqJyQHmfpJeVbDHp6XPGT8o7RrRy0DqcGhVkOPFlO3XBdw.pkg	12
Memorial * Series: Sunsoft Vol. 5: Raf World / Hebereke 	PS1	JP	http://zeusXXXXJP0202/NPJJ00485_00/yROUFIgRWdbh3pKldAnBYNOf77ok1HqsOMjmIsoaE4XkwnUk8dDHSv6CMSLV3fBug084DLaTV2nO4HIqNmjobXBSureSjbmNrcNmQ.pkg	13
Memorial * Series: Sunsoft Vol. 6: Battle Formula / Gimmick! 	PS1	JP	http://zeusXXXXJP0202/NPJJ00502_00/KgpEAVmkwBxzuKrknzaoRZRnEEGihdquHhVlRzqlgojBMkOMfioUtjioUYMaEgOykAnZSOGTlLzrHWULKOcEtdSUAQpsHfaszezrc.pkg	13
Simple 1500 Vol.100: The Uchuuhikoushi 	PS1	JP	http://zeusXXXXJP0367/NPJJ00436_00/DXY836q6iccBV2KMFQtyKB7Uwu1uowormjh67PPOlH3DWLK9d4GCKpRrDMo9YCPBWtwQ59Gii9FiLio17ATwH9ASetFWOHgb5HxQp.pkg	13
Battle Hunter 	PS1	US	http://zeusXXXXUP9000/NPUJ01335_00/txyJvjskzxOpUjfNQJMGyCRFLRJywgpClRugmYyDUxlmguANVmjetAzHFIfwkIAj.pkg	14
Memorial * Series: Sunsoft Vol. 4: Chou Wakusei Senki Metafight / Ripple Island 	PS1	JP	http://zeusXXXXJP0202/NPJJ00464_00/HjEgpOILxSuqCexNCG5iIre5vlNQ7BmiayOeqXrpopkOSID3nfbnmBc9cG5PaENFYYc5pVrPQwpYtBj6O3CVgRDHVgEmK6YMtgjeF.pkg	14
Simple 1500 Vol. 55: The Darts 	PS1	JP	http://zeusXXXXJP0367/NPJJ00375_00/cIKhbSf8L8Apn49ChlBb4oIULj3DP9KDXqsmiPwdJG65fJnUCcIMAOrC6onkS91LBuUbgmW733RmyodstQ7Bsd5EeLIlj1k7AIcIX.pkg	14
Battle Sugoroku: The Hunter (SuperLite 1500) 	PS1	JP	http://zeusXXXXJP0571/NPJJ00419_00/8586aH2xeaY1yTdPX3XL8p9FdagL1J5nrV4QF12TT5WoVlxJPkmge98cy6FHaeAlFMoAbV9WpQ3lGBTL3ObdlCW21pnfbxg2fHFDg.pkg	15
Simple 1500 Vol. 18: The Bowling 	PS1	JP	http://zeusXXXXJP0367/NPJJ00339_00/s3HFKimv9RLgI1qPqFcQmOkyy9EVcpnv8TFnsedNhlcwNvpN1RcdEAFDvVDorLJdqtyvRm8qRXRosD1qDms89hAwSq8Gtoa1AlnBh.pkg	15
Simple 1500 Vol. 53: The Helicopter 	PS1	JP	http://zeusXXXXJP0367/NPJJ00374_00/bl30uG9PfkIQ0HLr3TegPLvd2EEvbqxg93RI49erH8MycCUe1PAdt7VfcNreo2dQdvW8tDd5yGS6WGIFgnaIoYEIqvVAhueSQLtRW.pkg	15
